
0.0278,0.0588,0.0817,0.1136,0.1402,0.1609,0.1346,0.1123,0.0846,0.0569,0.0286
0.0283,0.0568,0.0856,0.1124,0.1311,0.1614,0.1429,0.1135,0.084,0.0547,0.0293
0.0285,0.0576,0.0808,0.1102,0.1379,0.1642,0.1414,0.1173,0.0849,0.0511,0.0261
0.0261,0.0557,0.0853,0.1176,0.1421,0.162,0.136,0.108,0.0864,0.0548,0.026
0.0256,0.0525,0.0849,0.112,0.1417,0.1582,0.1391,0.1101,0.0899,0.056,0.03
0.0265,0.0605,0.0788,0.1068,0.1399,0.1623,0.1421,0.1159,0.0806,0.0575,0.0291
0.0281,0.0552,0.0864,0.1111,0.1346,0.1678,0.1413,0.11,0.0812,0.0559,0.0284
0.0254,0.0534,0.0805,0.1101,0.1415,0.174,0.14,0.1109,0.0826,0.054,0.0276
0.0298,0.0575,0.0831,0.1075,0.1397,0.1643,0.1408,0.1077,0.0856,0.0542,0.0298
0.026,0.0553,0.0814,0.1084,0.1405,0.1724,0.135,0.1151,0.0846,0.0544,0.0269
0.0294,0.0562,0.0806,0.1096,0.1402,0.1622,0.142,0.1081,0.0862,0.0566,0.0289
0.0293,0.0582,0.0804,0.1117,0.1444,0.1617,0.1412,0.1115,0.0858,0.0512,0.0246
0.02748,0.05428,0.08561,0.10993,0.13954,0.16669,0.13936,0.11072,0.08414,0.05407,0.02818
0.02793,0.05651,0.08314,0.10998,0.13949,0.16624,0.14052,0.10941,0.08316,0.05616,0.02746
0.02923,0.05637,0.08294,0.11059,0.13931,0.16511,0.13922,0.10908,0.08332,0.05618,0.02865
0.0274,0.05494,0.08618,0.11062,0.13874,0.1652,0.13842,0.11288,0.08308,0.05442,0.02812
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.0287,0.0569,0.0848,0.11,0.1425,0.167,0.1343,0.1136,0.0785,0.0555,0.0282
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
