0.02772,0.055476,0.083053,0.110845,0.139032,0.1671,0.138687,0.111241,0.083501,0.055615,0.02773,
0.027901,0.055708,0.083375,0.110935,0.139107,0.167112,0.138604,0.110974,0.082987,0.055484,0.027813,
0.027727,0.055274,0.083103,0.111462,0.139101,0.166218,0.139105,0.111164,0.08329,0.055543,0.028013,
0.027845,0.055477,0.083351,0.110613,0.139594,0.167129,0.13879,0.111189,0.083486,0.05501,0.027516,
0.027672,0.055681,0.08337,0.110402,0.13892,0.167188,0.138814,0.110868,0.082942,0.056154,0.027989,
0.027742,0.056116,0.082846,0.110784,0.138719,0.166468,0.138671,0.111114,0.083761,0.055906,0.027873,
0.027664,0.055271,0.083154,0.111068,0.139486,0.166779,0.138274,0.111384,0.083305,0.055814,0.027801,
0.027819,0.055694,0.083132,0.111138,0.138357,0.166535,0.13936,0.111073,0.083739,0.055435,0.027718,
0.027743,0.055494,0.083576,0.110931,0.138642,0.166788,0.139114,0.110825,0.083571,0.055592,0.027724,
0.027628,0.05539,0.083342,0.111008,0.138628,0.166962,0.139164,0.111244,0.083325,0.055587,0.027722,
0.027806,0.056036,0.083439,0.111429,0.138644,0.166753,0.138601,0.111072,0.083132,0.055306,0.027782,
0.027766,0.055621,0.082936,0.111371,0.139016,0.166733,0.138609,0.111451,0.083402,0.055366,0.027729,
0.027909,0.055689,0.083739,0.11099,0.13837,0.166132,0.139249,0.111703,0.083209,0.055229,0.027781,
0.02785,0.05542,0.083383,0.111081,0.138934,0.166137,0.139398,0.111063,0.083277,0.055602,0.027855,
0.027879,0.055507,0.083381,0.111489,0.138965,0.167063,0.138585,0.111052,0.083059,0.055433,0.027587,
0.027876,0.055373,0.083521,0.111235,0.139165,0.166876,0.138713,0.110814,0.083436,0.055445,0.027546,
0.027772,0.05549,0.08313,0.110726,0.138837,0.167168,0.138419,0.110978,0.083811,0.055882,0.027787,
0.027676,0.055427,0.083648,0.110998,0.139411,0.166712,0.138366,0.111205,0.083524,0.055437,0.027596,
0.028038,0.055238,0.083717,0.111685,0.139066,0.166296,0.139178,0.110907,0.082701,0.055343,0.027831,
0.027973,0.055363,0.08334,0.110852,0.138867,0.166672,0.138681,0.11096,0.083361,0.055818,0.028113,
